begovoy,adr,okr,dist,uik,ent,flat,stage,post,unliv,lon,lat
http://gorod.mos.ru/index.php?show=objects&action=show&id=279257,1-й Боткинский проезд д.2/6,САО,Беговой,211,9,159,7,125284,NaN,37.555483,55.781827
http://gorod.mos.ru/index.php?show=objects&action=show&id=279258,1-й Боткинский проезд д.4,САО,Беговой,211,6,111,7,125284,15,37.556925,55.7828947
http://gorod.mos.ru/index.php?show=objects&action=show&id=279252,Верхняя улица д.1,САО,Беговой,207,1,69,9,125040,1,37.5758147,55.7767126
http://gorod.mos.ru/index.php?show=objects&action=show&id=1370089,Верхняя улица д.14,САО,Беговой,207,1,72,9,125040,NaN,37.57536,55.778255
http://gorod.mos.ru/index.php?show=objects&action=show&id=279255,Верхняя улица д.18,САО,Беговой,207,1,98,14,125040,NaN,37.575653,55.778607
http://gorod.mos.ru/index.php?show=objects&action=show&id=1474879,5-я Ямского Поля улица д.23 к.1,САО,Беговой,214,4,36,5,125040,4,37.577429,55.788138
http://gorod.mos.ru/index.php?show=objects&action=show&id=1470044,5-я Ямского Поля улица д.23 к.2,САО,Беговой,214,5,50,5,125040,4,37.577204,55.787555
http://gorod.mos.ru/index.php?show=objects&action=show&id=279251,5-я Ямского Поля улица д.27,САО,Беговой,214,1,105,16,125040,2,37.5764939,55.788452
http://gorod.mos.ru/index.php?show=objects&action=show&id=278822,Беговая аллея д.3,САО,Беговой,212,7,197,8,125284,20,37.5535655,55.7760179
http://gorod.mos.ru/index.php?show=objects&action=show&id=279253,Верхняя улица д.3 к.1,САО,Беговой,207,1,70,9,125040,1,37.57564,55.777373
http://gorod.mos.ru/index.php?show=objects&action=show&id=1366658,Верхняя улица д.3 к.2,САО,Беговой,207,1,70,9,125040,3,37.574916,55.776858
http://gorod.mos.ru/index.php?show=objects&action=show&id=1370086,Верхняя улица д.6,САО,Беговой,207,1,75,14,125040,4,37.576724,55.777347
http://gorod.mos.ru/index.php?show=objects&action=show&id=278824,Ленинградский проспект д.1,САО,Беговой,207,6,130,9,125040,27,37.58039,55.777766
http://gorod.mos.ru/index.php?show=objects&action=show&id=278832,Ленинградский проспект д.11,САО,Беговой,207,1,40,9,125040,3,37.573939,55.780413
http://gorod.mos.ru/index.php?show=objects&action=show&id=278869,Беговая улица д.10,САО,Беговой,209,2,30,5,125284,2,37.556312,55.776532
http://gorod.mos.ru/index.php?show=objects&action=show&id=1401280,Ленинградский проспект д.13 с.1,САО,Беговой,207,3,30,6,125040,5,37.573658,55.781047
http://gorod.mos.ru/index.php?show=objects&action=show&id=1401281,Ленинградский проспект д.13 с.1А,САО,Беговой,207,3,58,7,125040,NaN,37.572786,55.781178
http://gorod.mos.ru/index.php?show=objects&action=show&id=278872,Беговая улица д.14,САО,Беговой,209,4,77,5,125284,4,37.5563209,55.777044
http://gorod.mos.ru/index.php?show=objects&action=show&id=278840,Ленинградский проспект д.19,САО,Беговой,207,1,38,6,125040,4,37.569276,55.781718
http://gorod.mos.ru/index.php?show=objects&action=show&id=278873,Беговая улица д.16,САО,Беговой,209,3,30,5,125284,1,37.557,55.777451
